Protein.Group	Protein.Names	Genes	First.Protein.Description	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
P17752	TPH1_HUMAN	TPH1		609332						722438	238671	444975			753134								918816			841267	657114			
P17812	PYRG1_HUMAN	CTPS1		1.30411e+08	1.40342e+08	1.46624e+08	1.2356e+08	1.44484e+08	1.54257e+08	1.26846e+08	1.46776e+08	1.28029e+08	1.17754e+08	1.28805e+08	1.24368e+08	1.14069e+08	1.1265e+08	1.20041e+08	1.22123e+08	1.13358e+08	1.2277e+08	1.17763e+08	1.51421e+08	1.30166e+08	1.2854e+08	1.5704e+08	1.40477e+08	1.51395e+08	1.34894e+08	1.28084e+08
P17813	EGLN_HUMAN	ENG		1.09394e+07	4.78284e+06	7.03425e+06	1.02813e+07	2.50317e+07	1.28122e+07	9.15984e+06	7.28135e+06	1.70205e+07	9.16291e+06	4.35125e+06	6.99427e+06	1.34973e+07	1.25281e+07	1.43712e+07	7.85663e+06	1.25079e+07	1.04205e+07	1.27626e+07	2.0963e+07	2.19662e+07	1.81926e+07	2.58287e+07	2.34206e+07	2.48971e+07	1.2984e+07	1.3678e+07
P17844	DDX5_HUMAN	DDX5		4.33948e+08	4.6227e+08	4.53271e+08	4.04216e+08	4.51084e+08	3.74336e+08	4.72225e+08	4.25825e+08	4.02967e+08	4.8986e+08	4.74999e+08	4.46778e+08	4.29064e+08	4.59816e+08	4.04395e+08	4.31313e+08	4.49783e+08	4.95769e+08	4.81803e+08	5.29408e+08	5.31603e+08	5.11959e+08	5.09213e+08	4.22823e+08	3.82448e+08	4.51806e+08	4.22644e+08
P17858	PFKAL_HUMAN	PFKL		1.16986e+08	1.00559e+08	9.86404e+07	1.4599e+08	1.09517e+08	1.23899e+08	1.21623e+08	1.06802e+08	1.0298e+08	9.67764e+07	1.01858e+08	1.02208e+08	1.48129e+08	1.43816e+08	1.56306e+08	1.45504e+08	1.42456e+08	1.43932e+08	1.38767e+08	1.03584e+08	8.83642e+07	9.34199e+07	9.55489e+07	1.28521e+08	1.22262e+08	9.38478e+07	9.37885e+07
P17861	XBP1_HUMAN	XBP1					385470									263172					388871	509837								
P17900	SAP3_HUMAN	GM2A		1.85813e+07	2.9046e+07	1.47407e+07	1.93234e+07	1.62847e+07	2.54169e+07	2.04318e+07	2.16636e+07	2.17601e+07	1.25282e+07	2.85483e+07	3.08355e+07	2.52132e+07	2.5564e+07	2.43841e+07	2.80969e+07	2.23442e+07	1.61141e+07	1.52244e+07	1.87732e+07	1.61812e+07	1.85384e+07	1.10619e+07	1.762e+07	1.4981e+07	1.83928e+07	1.41995e+07
P17927	CR1_HUMAN	CR1						2.86186e+06	1.89123e+06														915907	681011	2.08595e+06	1.68849e+06	3.39647e+06	3.41851e+06	1.44234e+06	1.51413e+06
P17931	LEG3_HUMAN	LGALS3		6.01807e+07	5.25191e+07	4.84529e+07	1.12091e+06	3.0443e+07	4.48157e+07	5.00378e+07	3.28388e+07	4.49162e+07	2.54211e+07	4.9017e+07	4.77967e+07		4.12909e+07						3.70892e+07	2.59286e+07	3.85872e+07	2.07756e+07	3.05612e+07	2.62354e+07	3.35508e+07	3.41701e+07
P17936	IBP3_HUMAN	IGFBP3			495548																639274	598473								
P17947	SPI1_HUMAN	SPI1		3.44774e+07	2.85463e+07	2.64532e+07	3.07837e+07	4.01517e+07	4.45628e+07	2.93317e+07	3.0354e+07	3.07227e+07	3.18254e+07	3.07159e+07	3.70646e+07	3.78328e+07	3.37274e+07	3.81365e+07	3.46093e+07	3.4446e+07	3.35193e+07	3.4798e+07	5.77893e+07	4.51035e+07	4.63385e+07	4.8112e+07	4.84113e+07	4.19816e+07	4.82018e+07	5.07689e+07
P17980	PRS6A_HUMAN	PSMC3		1.7135e+08	1.60012e+08	1.73893e+08	1.43174e+08	1.30643e+08	1.53258e+08	1.66448e+08	1.93569e+08	1.66015e+08	1.56763e+08	1.71681e+08	1.58034e+08	1.40072e+08	1.51844e+08	1.50096e+08	1.34657e+08	1.38636e+08	1.23805e+08	1.33009e+08	1.39611e+08	1.39521e+08	1.37309e+08	1.43774e+08	1.37977e+08	1.19438e+08	1.41935e+08	1.42586e+08
P17987	TCPA_HUMAN	TCP1		6.04271e+08	5.86343e+08	6.6438e+08	5.69754e+08	4.26121e+08	4.88221e+08	5.95207e+08	6.01318e+08	6.11447e+08	5.24701e+08	6.56505e+08	5.96837e+08	4.51917e+08	4.9952e+08	5.12405e+08	5.11908e+08	4.77378e+08	5.16663e+08	5.11003e+08	5.0989e+08	4.05716e+08	3.92851e+08	4.7488e+08	5.28637e+08	5.47406e+08	4.18271e+08	4.07791e+08
P18031	PTN1_HUMAN	PTPN1		2.67065e+07	2.47534e+07	3.06792e+07	3.15771e+07	2.88226e+07	3.22223e+07	2.80673e+07	2.79331e+07	2.2301e+07	2.16612e+07	2.80157e+07	2.50505e+07	2.46464e+07	2.76816e+07	2.9691e+07	2.72642e+07	2.49614e+07	2.73694e+07	2.56946e+07	3.23648e+07	2.38271e+07	2.58119e+07	3.23237e+07	3.78235e+07	3.49397e+07	2.3673e+07	2.19306e+07
P18054	LOX12_HUMAN	ALOX12					2.78907e+06									2.54595e+06	3.50609e+06	2.54952e+06	916100	1.59451e+06	2.71709e+06	3.10222e+06								
P18065	IBP2_HUMAN	IGFBP2					1.42108e+06									523562	718677	763444	1.38741e+06	608637	1.0448e+06	904384								
P18074	ERCC2_HUMAN	ERCC2		3.08636e+07	3.06435e+07	3.05307e+07	2.79402e+07	2.2109e+07	2.2042e+07	2.97886e+07	2.87807e+07	2.39738e+07	2.93189e+07	3.37362e+07	2.98228e+07	2.56926e+07	2.52436e+07	2.28824e+07	3.01349e+07	2.59651e+07	3.05755e+07	2.71139e+07	2.26384e+07	2.13378e+07	2.1637e+07	1.83277e+07	2.08625e+07	2.19947e+07	1.97536e+07	2.11553e+07
P18075	BMP7_HUMAN	BMP7																1.61826e+06												
P18077	RL35A_HUMAN	RPL35A		2.34451e+07	2.59691e+07	2.06175e+07	3.08257e+07	1.44931e+07	9.67251e+07	2.85039e+07	2.66262e+07	3.47978e+07	4.67286e+07	2.5868e+07	2.54772e+07	2.97036e+07	1.95278e+07	2.56022e+07	2.52086e+07	8.70186e+07	7.78727e+07	6.20501e+07	2.461e+07	2.17776e+07	1.58443e+07	1.95692e+07	2.4809e+07	1.69402e+07	1.7599e+07	1.71348e+07
P18084	ITB5_HUMAN	ITGB5		3.28237e+08	2.06666e+08	2.10862e+08	1.6701e+08	1.63465e+08	2.16348e+08	3.26093e+08	2.34132e+08	2.52103e+08	2.24376e+08	1.79078e+08	2.503e+08	2.3062e+08		2.05587e+08	2.18349e+08		1.74006e+08	1.14409e+08	2.40746e+08	1.44398e+08	2.20949e+08	1.48059e+08	2.62719e+08	1.46896e+08	1.55866e+08	1.08874e+08
P18085	ARF4_HUMAN	ARF4		1.31095e+08	1.31848e+08	1.39199e+08	1.7378e+08	1.48172e+08	1.45288e+08	1.42007e+08	1.30929e+08	1.42159e+08	1.30839e+08	1.36425e+08	1.36069e+08	1.90537e+08	1.86242e+08	1.85419e+08	1.93775e+08	1.84959e+08	1.93033e+08	1.93208e+08	1.29255e+08	1.32376e+08	1.44386e+08	1.45704e+08	1.57159e+08	1.38997e+08	1.44923e+08	1.42314e+08
P18124	RL7_HUMAN	RPL7		7.38122e+08	7.59236e+08	7.5522e+08	7.47416e+08	5.61236e+08	6.74375e+08	7.227e+08	7.9791e+08	6.41945e+08	6.49134e+08	8.03185e+08	7.31395e+08	6.35571e+08	6.84948e+08	7.10249e+08	7.36871e+08	6.7583e+08	6.94465e+08	6.72674e+08	6.57413e+08	5.98721e+08	5.73295e+08	5.99395e+08	7.09151e+08	6.66432e+08	6.11751e+08	5.86559e+08
P18206	VINC_HUMAN	VCL		5.12819e+07	4.98426e+07	5.62044e+07	6.98568e+07	6.57722e+07	8.59096e+07	5.45791e+07	5.44724e+07	4.45145e+07	5.1465e+07	5.61548e+07	5.55099e+07	8.57419e+07	8.63963e+07	8.87474e+07	8.74246e+07	7.92028e+07	6.81861e+07	6.63866e+07	7.73734e+07	6.55739e+07	7.65462e+07	6.36586e+07	7.46946e+07	6.69928e+07	7.20626e+07	7.29726e+07
P18283	GPX2_HUMAN	GPX2								236715		271415	244356													274463	531997		242102	
P18433	PTPRA_HUMAN	PTPRA		2.26612e+07	1.84824e+07	1.90699e+07	9.69937e+06	7.80803e+06	1.23121e+07	2.15906e+07	1.94447e+07	1.77354e+07	1.62946e+07	1.83469e+07	1.87253e+07	9.62204e+06	9.46442e+06	1.00477e+07	8.78723e+06	8.9467e+06	8.55188e+06	8.22583e+06	8.49207e+06	7.86765e+06	8.34143e+06	7.23003e+06	1.03245e+07	7.17598e+06	9.69306e+06	9.38335e+06
P18440	ARY1_HUMAN	NAT1		2.01418e+07	1.67412e+07	1.53587e+07	1.73373e+07	1.83026e+07	1.31418e+07	2.07177e+07	2.05518e+07	2.00724e+07	2.34637e+07	2.2038e+07	2.08078e+07	2.6357e+07	2.22836e+07	2.00384e+07	2.13706e+07	2.07815e+07	2.28903e+07	2.23281e+07	1.92852e+07	1.7985e+07	1.90675e+07	1.7732e+07	1.45195e+07	1.90917e+07	2.09236e+07	2.03849e+07
P18510	IL1RA_HUMAN	IL1RN		2.50198e+06	1.16944e+06	2.35228e+06		1.2147e+07	9.16474e+06	3.32417e+06	1.37379e+06	2.69276e+06	1.92584e+06		1.10503e+06	1.58446e+06	1.18962e+06	1.06188e+06		1.83315e+06	1.30117e+06	1.2589e+06	1.55712e+07	1.00976e+07	1.31558e+07	3.11011e+07	1.191e+07	1.50396e+07	1.076e+07	1.09363e+07
P18564	ITB6_HUMAN	ITGB6		2.47697e+07	2.40837e+07	2.50408e+07	1.82204e+07	1.5976e+07		2.02581e+07	1.87713e+07	2.2023e+07	1.51784e+07			1.65514e+07		2.25896e+07		1.521e+07	1.92957e+07									
P18583	SON_HUMAN	SON		4.60882e+07	4.28468e+07	4.21746e+07	4.68117e+07	4.26914e+07	4.06196e+07	4.38253e+07	3.75738e+07	4.33506e+07	4.42971e+07	4.72532e+07	4.76328e+07	5.27898e+07	4.87857e+07	5.17705e+07	5.31844e+07	6.01102e+07	5.02967e+07	5.20142e+07	5.03731e+07	4.5807e+07	4.58838e+07	4.51786e+07	4.29157e+07	3.74686e+07	4.75796e+07	4.80654e+07
P18615	NELFE_HUMAN	NELFE		1.72528e+07	1.54012e+07	1.4877e+07	1.34102e+07	1.13444e+07	1.32542e+07	1.6579e+07	1.71872e+07	1.68228e+07	1.63858e+07	1.81659e+07	1.66421e+07	1.2207e+07	1.28347e+07	1.38222e+07	1.3182e+07	1.35787e+07	1.25364e+07	1.16529e+07	1.40937e+07	1.39298e+07	1.34167e+07	1.42016e+07	1.43342e+07	1.3067e+07	1.30267e+07	1.13768e+07
P18621	RL17_HUMAN	RPL17		7.49002e+08	7.17648e+08	6.62894e+08	6.06082e+08	6.22825e+08	6.23065e+08	6.58003e+08	4.7678e+08	6.18492e+08	6.57324e+08	5.5811e+08	6.66123e+08	5.1997e+08	5.40675e+08	6.49953e+08	5.88808e+08	6.59509e+08	5.68799e+08	5.50788e+08	6.46743e+08	6.72282e+08	6.07378e+08	6.70433e+08	5.94833e+08	5.73821e+08	5.61408e+08	6.13837e+08
P18627	LAG3_HUMAN	LAG3							428336						200757															
P18669	PGAM1_HUMAN	PGAM1		6.8309e+08	4.85456e+08	5.07401e+08	5.19211e+08	9.78461e+08	1.25851e+09	6.56239e+08	6.029e+08	6.90397e+08	5.34252e+08	4.85542e+08	5.32e+08	5.87248e+08	5.6321e+08	7.38836e+08	6.10677e+08	6.65291e+08	6.4529e+08	5.4998e+08	1.04155e+09	8.6476e+08	1.02965e+09	1.10326e+09	1.37892e+09	1.03334e+09	9.64384e+08	9.82319e+08
P18754	RCC1_HUMAN	RCC1		1.54199e+08	1.89501e+08	1.66777e+08	1.06697e+08	1.3559e+08	1.20415e+08	1.7879e+08	1.57307e+08	1.75973e+08	1.90471e+08	1.81827e+08	1.96709e+08	1.30935e+08	1.22761e+08	1.04214e+08	1.1268e+08	1.51819e+08	1.37671e+08	1.43814e+08	1.49458e+08	1.49736e+08	1.44379e+08	1.77367e+08	1.47379e+08	1.45986e+08	1.50937e+08	1.50766e+08
P18847	ATF3_HUMAN	ATF3		779935	442391	753159			571878	957069	873262			756296	668080			578025					505934			673915	524250		425017	
P18850	ATF6A_HUMAN	ATF6		1.53513e+06	1.28032e+06	1.73151e+06	838357	1.56168e+06	1.732e+06	1.61231e+06	1.29935e+06	2.23702e+06	1.2843e+06	818820	1.25251e+06	1.33038e+06		703248	674878	1.1718e+06	1.43385e+06	1.57124e+06	1.29762e+06	1.60157e+06	961805	1.62888e+06	479105	1.64306e+06	2.13589e+06	1.355e+06
P18858	DNLI1_HUMAN	LIG1		4.13206e+07	4.61461e+07	4.5138e+07	5.95489e+07	1.90365e+07	3.01242e+07	4.18289e+07	5.41727e+07	3.93185e+07	4.1482e+07	4.4e+07	4.26366e+07	3.78137e+07	4.21697e+07	4.15233e+07	4.00858e+07	4.51165e+07	5.83362e+07	6.62052e+07	2.44285e+07	2.51239e+07	2.36182e+07	2.89433e+07	2.36341e+07	2.22355e+07	3.16966e+07	2.90524e+07
P18859	ATP5J_HUMAN	ATP5PF		1.73363e+07	1.41844e+07	6.93593e+06	2.03917e+07	1.50853e+07	2.20693e+07	1.04896e+07	1.30489e+07	1.25071e+07	5.81094e+06	1.72461e+07	1.18511e+07	1.69267e+07	1.82683e+07	2.52711e+07	1.88015e+07	1.80418e+07	1.14797e+07	1.44693e+07	2.28617e+07	1.63079e+07	1.21561e+07	1.88876e+07	1.99686e+07	2.34043e+07	1.8556e+07	1.272e+07
P18887	XRCC1_HUMAN	XRCC1		3.22654e+07	2.9338e+07	3.14942e+07	2.7343e+07	3.39836e+07	2.86992e+07	3.29656e+07	3.62289e+07	2.8348e+07	3.61607e+07	3.06269e+07	2.85399e+07	2.75914e+07	2.71418e+07	2.2098e+07	2.73752e+07	2.47591e+07	3.08106e+07	3.29849e+07	3.0873e+07	3.65448e+07	3.60453e+07	3.43369e+07	3.41467e+07	3.24036e+07	3.63735e+07	3.56262e+07
P19105	ML12A_HUMAN	MYL12A								282067		335349			208586															
P19174	PLCG1_HUMAN	PLCG1		7.2998e+06	9.81262e+06	1.09743e+07	3.84704e+06	8.87957e+06	8.37593e+06	6.36547e+06	6.94184e+06	7.42071e+06	8.18186e+06	8.26857e+06	8.5474e+06	3.94251e+06	3.50716e+06	3.02529e+06	2.5606e+06	3.2173e+06	3.80655e+06	3.79923e+06	8.78964e+06	8.18119e+06	8.702e+06	9.55736e+06	7.21205e+06	7.30474e+06	8.04122e+06	8.8094e+06
P19235	EPOR_HUMAN	EPOR												332350																
P19256	LFA3_HUMAN	CD58		1.21123e+07	1.00134e+07	9.03693e+06	1.68616e+07	1.55801e+07	1.10975e+07	1.12974e+07	1.05602e+07	1.2634e+07	1.00718e+07	1.3592e+07	1.27925e+07	1.97903e+07	1.79011e+07	2.06879e+07	1.72445e+07	1.83212e+07	1.46467e+07	1.69253e+07	1.56534e+07	1.44218e+07	1.47365e+07	1.53732e+07	1.55939e+07	1.74986e+07	1.26055e+07	1.1499e+07
P19338	NUCL_HUMAN	NCL		1.67346e+09	1.7138e+09	1.81135e+09	1.59151e+09	1.53434e+09	1.66568e+09	1.73253e+09	1.97212e+09	1.62469e+09	1.93586e+09	1.82013e+09	1.81581e+09	1.54286e+09	1.57349e+09	1.73461e+09	1.53924e+09	1.69504e+09	1.48434e+09	1.54185e+09	1.48904e+09	1.41618e+09	1.5765e+09	1.69527e+09	1.52844e+09	1.40523e+09	1.65658e+09	1.61057e+09
P19367	HXK1_HUMAN	HK1		2.00869e+07	1.45051e+07	1.2258e+07	4.07627e+07	6.41424e+07	8.03461e+07	1.79729e+07	1.24704e+07	2.8464e+07	1.73044e+07	1.38033e+07	1.29269e+07	5.57843e+07	4.5665e+07	5.35781e+07	4.75481e+07	6.50964e+07	4.61255e+07	4.36388e+07	9.85356e+07	7.47251e+07	8.14434e+07	8.39366e+07	7.53191e+07	7.38721e+07	7.01524e+07	6.58024e+07
P19387	RPB3_HUMAN	POLR2C		3.07569e+07	2.88455e+07	2.82176e+07	2.96919e+07	2.70024e+07	2.95231e+07	3.28584e+07	3.38583e+07	2.63765e+07	2.88892e+07	3.01897e+07	3.17851e+07	2.67018e+07	3.59749e+07	3.01773e+07	3.11382e+07	3.24691e+07	2.71715e+07	2.64582e+07	2.64313e+07	2.82606e+07	2.96191e+07	2.7043e+07	3.18693e+07	2.5572e+07	2.91668e+07	2.87009e+07
P19388	RPAB1_HUMAN	POLR2E		1.64853e+07	1.7054e+07	1.61244e+07	1.56694e+07	1.14838e+07	1.2672e+07	1.66107e+07	1.61744e+07	1.42866e+07	1.669e+07	1.72097e+07	1.40207e+07	1.39576e+07	1.54479e+07	1.25114e+07	1.40345e+07	1.45942e+07	1.39088e+07	1.52012e+07	1.06611e+07	8.1573e+06	1.11704e+07	1.12955e+07	9.58739e+06	9.86063e+06	1.30024e+07	1.1955e+07
P19404	NDUV2_HUMAN	NDUFV2		1.36886e+08	1.38991e+08	9.13106e+07	8.05266e+07	1.11994e+08	1.28982e+08	1.2425e+08	1.14389e+08	1.39669e+08	1.23358e+08	1.24594e+08	1.47624e+08	7.97934e+07	6.86404e+07	6.19365e+07	6.46082e+07	9.60425e+07	9.26891e+07	9.12667e+07	1.1402e+08	1.07685e+08	1.24111e+08	9.27417e+07	1.16483e+08	1.10406e+08	1.16589e+08	1.16151e+08
P19419	ELK1_HUMAN	ELK1				469858	924793				638686						684285	813565	966604	825275										
P19438	TNR1A_HUMAN	TNFRSF1A		658358	484244	788877	1.142e+06	818889	845109	746224	689752	447767	476174	759394	725519	899504	939503	1.00492e+06	827128	754450	769301	1.21783e+06	787495	788664	764073	1.1017e+06	952734	706026	1.00129e+06	1.10753e+06
P19440	GGT1_HUMAN	GGT1		4.59286e+07	2.53475e+07	2.4657e+07	1.94169e+07	3.56868e+07	2.87243e+07	3.50467e+07	2.79312e+07	5.12434e+07	2.2283e+07	3.10709e+07	3.09473e+07	2.26465e+07	2.32049e+07	2.44154e+07	1.95578e+07	2.21976e+07	1.79627e+07	1.87808e+07	3.56745e+07	2.40562e+07	3.22962e+07	3.28843e+07	4.06423e+07	3.77372e+07	2.54834e+07	2.26664e+07
P19447	ERCC3_HUMAN	ERCC3		8.13613e+06	7.71447e+06	9.20699e+06	6.62716e+06	6.17533e+06	6.83436e+06	7.20851e+06	7.49893e+06	7.1315e+06	7.46149e+06	6.9907e+06	7.12516e+06	6.64067e+06	7.16833e+06	6.52097e+06	7.36731e+06	7.53374e+06	7.22957e+06	6.36139e+06	4.98118e+06	5.59185e+06	5.45122e+06	4.96723e+06	6.20271e+06	5.16609e+06	5.19912e+06	5.32226e+06
P19474	RO52_HUMAN	TRIM21		3.85765e+07	3.83208e+07	1.88972e+07	2.19833e+07	4.56003e+07	3.69508e+07	3.87673e+07	2.28121e+07	3.02526e+07	2.32751e+07	3.51825e+07	4.03234e+07	2.78247e+07	2.56585e+07	2.33049e+07	2.23724e+07	2.4344e+07	2.37102e+07	2.2852e+07	5.30601e+07	4.29564e+07	4.75044e+07	8.21349e+07	4.96491e+07	4.43572e+07	4.05262e+07	3.81021e+07
P19484	TFEB_HUMAN	TFEB		1.19981e+07	7.79042e+06	8.66947e+06	4.27922e+06	1.21872e+07	9.49633e+06	1.04382e+07	7.94282e+06	1.04324e+07	7.81561e+06	7.00916e+06	7.31468e+06	4.28616e+06	4.43615e+06	4.58046e+06	4.93321e+06	4.71967e+06	3.68243e+06	5.2773e+06	1.24017e+07	1.1478e+07	1.22505e+07	1.20208e+07	9.61249e+06	1.16965e+07	1.01306e+07	9.51902e+06
P19525	E2AK2_HUMAN	EIF2AK2		3.72051e+07	4.31147e+07	3.87847e+07	1.17198e+07	4.34459e+07	4.18552e+07	3.46035e+07	3.76467e+07	3.694e+07	3.41252e+07	3.5519e+07	3.52939e+07	1.31186e+07	1.57038e+07	1.23194e+07	1.22371e+07	8.95606e+06	8.48442e+06	8.71908e+06	4.72455e+07	2.82599e+07	3.11247e+07	1.22211e+08	5.74629e+07	4.4938e+07	3.40022e+07	3.05755e+07
P19532	TFE3_HUMAN	TFE3																				1.23897e+06								
P19544	WT1_HUMAN	WT1		1.69375e+06	1.13775e+06	1.87318e+06		1.91648e+06		1.57918e+06	1.87492e+06	1.95542e+06	1.6642e+06	1.00958e+06	1.78252e+06														1.56695e+06	
P19622	HME2_HUMAN	EN2				210154			347244												96347.6							285894		
P19623	SPEE_HUMAN	SRM		2.67313e+08	2.98865e+08	3.02563e+08	3.56457e+08	2.07701e+08	2.36231e+08	2.59752e+08	2.43808e+08	2.28728e+08	2.41718e+08	2.5103e+08	2.61931e+08	3.44533e+08	3.48877e+08	3.15441e+08	3.37815e+08	3.2011e+08	3.1013e+08	3.16118e+08	2.17921e+08	1.87868e+08	2.09217e+08	2.23947e+08	2.14709e+08	2.15397e+08	2.22646e+08	2.13242e+08
P19634	SL9A1_HUMAN	SLC9A1		1.33089e+06	1.21298e+06	1.40669e+06	1.71118e+06	3.28839e+06	2.07516e+06	1.2595e+06	1.732e+06	1.38438e+06	1.51159e+06	1.62737e+06	1.49891e+06	2.0555e+06	2.39118e+06	2.68239e+06	2.35462e+06	1.97843e+06	1.99951e+06	1.82184e+06	3.03976e+06	2.29671e+06	2.43718e+06	3.20017e+06	2.85839e+06	2.85526e+06	2.16199e+06	1.98105e+06
P19652	A1AG2_HUMAN	ORM2						1.21429e+06	3.18243e+06															2.06651e+06	2.34296e+06				3.6831e+06	3.43938e+06
P19784	CSK22_HUMAN	CSNK2A2		3.80469e+07	3.58145e+07	4.07683e+07	3.67688e+07	5.18411e+07	4.30456e+07	3.74912e+07	4.24551e+07	4.24102e+07	4.07537e+07	3.72837e+07	3.90406e+07	4.02599e+07	3.94149e+07	3.92361e+07	3.74526e+07	4.40619e+07	4.31626e+07	4.2098e+07	5.25998e+07	5.02928e+07	5.23164e+07	5.62397e+07	5.11583e+07	5.6168e+07	5.23437e+07	5.22131e+07
P19793	RXRA_HUMAN	RXRA		1.63154e+07	1.93556e+07	1.57288e+07	2.53929e+07	1.40963e+07	1.50626e+07	1.46784e+07	1.40608e+07	1.60255e+07	1.72111e+07	1.8923e+07	1.80022e+07	2.77478e+07	2.92464e+07	2.55998e+07	2.6501e+07	2.84761e+07	3.13197e+07	3.07016e+07	1.32094e+07	1.28252e+07	1.37281e+07	1.24577e+07	1.02814e+07	1.16826e+07	1.45277e+07	1.5135e+07
P19823	ITIH2_HUMAN	ITIH2		4.42167e+06	5.08458e+06	3.55753e+06	7.5897e+06	5.05923e+06	7.89666e+06	2.77211e+06	3.97091e+06		3.29124e+06	3.93244e+06	5.22721e+06	6.03617e+06	2.41692e+06	4.03318e+06	3.23688e+06	3.15029e+06	7.03728e+06	6.05881e+06	7.28375e+06	5.76178e+06	6.19833e+06	5.06177e+06	3.68079e+06	4.89252e+06	4.90056e+06	7.08272e+06
P19838	NFKB1_HUMAN	NFKB1		1.18296e+07	8.83446e+06	9.66171e+06	8.58118e+06	1.64932e+07	1.83713e+07	1.05668e+07	9.8014e+06	9.87878e+06	9.10838e+06	7.84186e+06	8.91314e+06	8.22359e+06	7.88855e+06	7.92127e+06	8.08482e+06	8.03376e+06	8.68082e+06	8.53506e+06	1.59126e+07	1.51872e+07	1.71161e+07	1.68434e+07	1.73869e+07	1.70249e+07	1.71931e+07	1.78251e+07
P19875	CXCL2_HUMAN	CXCL2																								796852				
